광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	강북구	번제2동	소계	14541	10624	3917	41	10583	4465	2162	2713	550	630	19	2	8	4	5	7	12	6
서울특별시	강북구	번제3동	소계	15246	11426	3820	38	11388	4770	2458	2893	591	614	15	3	11	2	7	6	3	15
서울특별시	강북구	수유제1동	소계	17856	12559	5297	48	12511	5167	2618	3169	706	797	21	2	7	5	8	3	1	7
서울특별시	강북구	수유제2동	소계	17803	13388	4415	40	13348	5127	3222	3391	806	735	32	1	6	5	3	1	6	13
서울특별시	강북구	수유제3동	소계	20939	15147	5792	58	15089	6346	3152	3559	852	1100	25	1	9	6	15	0	7	17
서울특별시	강북구	우이동	소계	17036	12163	4873	36	12127	4638	3041	2921	677	795	17	2	9	2	9	4	7	5
서울특별시	강북구	인수동	소계	25265	17959	7306	60	17899	7127	4159	4444	944	1144	30	0	10	4	14	3	8	12
서울특별시	도봉구	거소·선상투표	거소·선상투표	445	418	27	8	410	151	92	123	26	14	2	0	1	0	0	0	1	0
서울특별시	도봉구	관외사전투표	관외사전투표	24222	24214	8	151	24063	11268	3516	5478	1710	1964	34	5	13	4	19	9	8	35
서울특별시	도봉구	재외투표	재외투표	2381	1798	583	5	1793	1087	143	221	76	250	13	0	0	0	1	1	0	1
서울특별시	도봉구	쌍문1동	소계	16912	12466	4446	38	12428	5148	2762	2899	772	782	25	1	10	3	11	0	8	7
서울특별시	도봉구	쌍문2동	소계	16797	12596	4201	42	12554	5158	2674	3070	782	812	13	2	14	2	11	3	5	8
서울특별시	도봉구	쌍문3동	소계	13937	10333	3604	50	10283	4129	2182	2650	568	703	17	1	11	2	9	1	3	7
서울특별시	도봉구	쌍문4동	소계	14657	11630	3027	26	11604	4724	2466	2723	855	793	19	1	3	4	8	1	4	3
서울특별시	도봉구	방학1동	소계	23397	17165	6232	51	17114	6608	3889	4554	1039	962	24	3	7	3	9	2	5	9
서울특별시	도봉구	방학2동	소계	17441	11998	5443	54	11944	4721	2737	3130	602	683	28	1	18	2	7	1	4	10
서울특별시	도봉구	방학3동	소계	22839	18325	4514	50	18275	7572	3791	4409	1280	1156	22	2	14	4	12	2	1	10
서울특별시	도봉구	창1동	소계	20810	16230	4580	50	16180	7002	3233	3732	1069	1082	27	2	7	3	13	1	5	4
서울특별시	도봉구	창2동	소계	24160	18084	6076	65	18019	7565	3611	4478	1110	1197	19	2	13	2	5	2	5	10
