광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
전라남도	장흥군	합계	합계	34688	27149	7539	161	26988	14821	636	9593	513	975	11	4	29	12	204	37	26	127
전라남도	강진군	합계	합계	32299	25175	7124	169	25006	12476	753	10152	489	890	15	6	45	9	70	17	21	63
전라남도	완도군	합계	합계	44989	34886	10103	293	34593	20945	762	11021	521	975	12	5	32	8	87	31	33	161
전라남도	해남군	합계	합계	63440	48351	15089	340	48011	25901	1158	18157	778	1581	14	6	61	14	134	42	36	129
전라남도	진도군	합계	합계	27614	21189	6425	179	21010	10392	511	8855	323	686	10	11	25	8	57	29	22	81
전라남도	영암군	합계	합계	47164	36402	10762	231	36171	18999	825	13610	674	1773	10	11	47	26	62	32	30	72
전라남도	무안군	합계	합계	65997	52516	13481	261	52255	29516	983	18052	979	2366	18	15	38	16	86	47	30	109
전라남도	영광군	합계	합계	46884	35919	10965	204	35715	20595	819	11675	686	1320	16	20	57	11	282	39	30	165
전라남도	함평군	합계	합계	30227	23368	6859	168	23200	13539	471	7831	359	788	11	7	12	10	39	24	22	87
전라남도	신안군	합계	합계	38305	28950	9355	203	28747	14370	713	12000	459	890	13	16	34	13	30	44	34	131
경상북도	포항시북구	합계	합계	221925	171444	50481	772	170672	38629	77138	26901	17421	9682	263	33	93	59	89	61	141	162
경상북도	울릉군	합계	합계	8968	6810	2158	45	6765	1443	3520	973	524	261	10	1	3	5	2	4	5	14
경상북도	포항시남구	합계	합계	200424	150740	49684	824	149916	34808	66319	24728	14382	8845	212	29	82	37	120	56	109	189
경상북도	김천시	합계	합계	119825	92184	27641	612	91572	22255	43998	12803	6336	5458	161	26	78	38	48	56	164	151
경상북도	경주시	합계	합계	218154	167296	50858	935	166361	38092	80090	23898	13779	9274	331	45	99	76	166	76	206	229
경상북도	안동시	합계	합계	139937	107357	32580	720	106637	23121	52978	15461	9186	5058	170	32	68	70	56	76	221	140
경상북도	구미시	합계	합계	328174	246638	81536	1336	245302	62573	98732	41141	25468	16027	419	57	119	73	105	72	166	350
경상북도	영주시	합계	합계	92117	70861	21256	471	70390	15280	34504	10444	6451	3182	95	18	41	32	49	52	143	99
