광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민참여당	미래연합	민주노동당	민주당	사회당	자유선진당	진보신당	친박연합	평화민주당	한나라당
충청남도	4400	금산군	46562	28883	27220	1663	17679	563	369	795	7775	271	10915	568	0	0	5964
충청남도	4400	연기군	64534	37799	36342	1457	26735	908	499	852	14034	166	14340	499	0	0	5044
충청남도	4400	논산시	101953	61123	58534	2589	40830	947	599	1878	23619	351	17988	616	0	0	12536
충청남도	4400	계룡시	30047	19324	18886	438	10723	854	219	392	6077	64	4015	426	0	0	6839
충청남도	4400	부여군	62144	41885	39486	2399	20259	723	424	1113	8009	264	18960	440	0	0	9553
충청남도	4400	서천군	50167	34168	31913	2255	15999	503	416	992	10258	330	12894	339	0	0	6181
충청남도	4400	홍성군	70516	43141	40747	2394	27375	1042	553	1205	7580	271	18103	636	0	0	11357
충청남도	4400	청양군	27528	20470	19054	1416	7058	450	318	491	2555	194	9168	242	0	0	5636
충청남도	4400	예산군	71607	44099	41283	2816	27508	799	731	1245	5140	302	21820	906	0	0	10340
충청남도	4400	당진군	111252	59840	57497	2343	51412	1311	598	2077	15503	304	23809	1050	0	0	12845
전라북도	4500	전주시완산구	262926	140328	137694	2634	122598	16708	0	14445	77597	360	0	5319	0	1835	21430
전라북도	4500	전주시덕진구	210631	107759	105654	2105	102872	10177	0	11915	60924	268	0	6160	0	1181	15029
전라북도	4500	군산시	207328	113603	109522	4081	93725	8691	0	11131	69195	493	0	4426	0	1371	14215
전라북도	4500	익산시	234104	126654	122251	4403	107450	10087	0	13775	74730	669	0	3803	0	4369	14818
전라북도	4500	정읍시	96698	64652	61239	3413	32046	4055	0	9549	38764	498	0	1551	0	1118	5704
전라북도	4500	남원시	69420	47632	45648	1984	21788	2158	0	2859	32216	415	0	2472	0	743	4785
전라북도	4500	김제시	78217	51872	48838	3034	26345	3815	0	7019	29359	536	0	1086	0	933	6090
전라북도	4500	완주군	67270	41779	39989	1790	25491	2240	0	4613	25364	357	0	1609	0	849	4957
전라북도	4500	진안군	23443	17961	16967	994	5482	2121	0	1383	9795	334	0	797	0	473	2064
전라북도	4500	무주군	21439	16740	15573	1167	4699	807	0	1154	10161	296	0	567	0	493	2095
전라북도	4500	장수군	19757	15505	14488	1017	4252	644	0	1350	9661	255	0	669	0	403	1506
전라북도	4500	임실군	26252	19574	18531	1043	6678	1004	0	1716	11863	267	0	729	0	538	2414
전라북도	4500	순창군	25136	19662	18519	1143	5474	862	0	2992	11594	265	0	619	0	439	1748
전라북도	4500	고창군	49998	36924	34762	2162	13074	1743	0	3202	23789	674	0	1040	0	1175	3139
전라북도	4500	부안군	50186	35410	33052	2358	14776	1203	0	2709	22661	370	0	1349	0	773	3987
전라남도	4600	목포시	181872	91620	88629	2991	90252	5019	0	17416	54342	353	0	1600	0	3544	6355
전라남도	4600	여수시	225147	130655	126187	4468	94492	10438	0	18154	78530	1341	0	2797	0	4425	10502
전라남도	4600	순천시	200321	122957	118052	4905	77364	7781	0	20298	74479	754	0	1909	0	3439	9392
전라남도	4600	나주시	75246	52378	49325	3053	22868	1769	0	12261	28695	618	0	1482	0	1262	3238
전라남도	4600	광양시	104440	65139	63286	1853	39301	9497	0	11632	33053	414	0	907	0	1070	6713
전라남도	4600	담양군	39981	26958	25548	1410	13023	1087	0	2737	17255	401	0	772	0	810	2486
전라남도	4600	장성군	38299	27487	25866	1621	10812	1239	0	2683	16829	340	0	929	0	1050	2796
전라남도	4600	곡성군	26917	20583	19243	1340	6334	739	0	2711	12434	337	0	695	0	685	1642
전라남도	4600	구례군	22984	18290	17012	1278	4694	717	0	3961	9949	209	0	426	0	453	1297
전라남도	4600	고흥군	63702	47401	43631	3770	16301	1315	0	5931	28445	481	0	1211	0	1415	4833
전라남도	4600	보성군	41044	29702	27714	1988	11342	1266	0	4715	17022	285	0	788	0	842	2796
전라남도	4600	화순군	54681	37820	35769	2051	16861	2106	0	7014	20951	379	0	1268	0	1124	2927
전라남도	4600	장흥군	34748	25234	23959	1275	9514	703	0	6982	13171	279	0	467	0	592	1765
전라남도	4600	강진군	33414	24016	22583	1433	9398	813	0	2598	14798	379	0	777	0	927	2291
전라남도	4600	완도군	45162	33807	31467	2340	11355	1371	0	2542	23093	486	0	736	0	1041	2198
전라남도	4600	해남군	65721	43884	40793	3091	21837	992	0	6761	25144	455	0	1023	0	3408	3010
전라남도	4600	진도군	28171	21288	19260	2028	6883	1747	0	3639	10975	397	0	712	0	647	1143
전라남도	4600	영암군	47703	25948	24947	1001	21755	819	0	4172	16469	216	0	483	0	674	2114
전라남도	4600	무안군	58068	37871	35906	1965	20197	1527	0	6338	22642	384	0	831	0	954	3230
전라남도	4600	영광군	46484	32080	30300	1780	14404	1296	0	4939	18783	495	0	900	0	1051	2836
전라남도	4600	함평군	31104	21767	20471	1296	9337	703	0	2426	13328	238	0	776	0	762	2238
전라남도	4600	신안군	39693	30441	27545	2896	9252	1367	0	2909	18605	497	0	634	0	1166	2367
경상북도	4700	포항시북구	199281	107031	104740	2291	92250	7151	649	5035	10365	263	0	3391	3474	0	74412
경상북도	4700	포항시남구	197630	105564	103208	2356	92066	7120	626	6493	12767	238	0	2251	4030	0	69683
경상북도	4700	울릉군	9072	7405	7043	362	1667	265	38	253	882	24	0	160	382	0	5039
경상북도	4700	경주시	211517	124951	120371	4580	86566	5613	5478	10837	11403	504	0	2394	9009	0	75133
경상북도	4700	김천시	109593	67699	64869	2830	41894	3119	1001	3046	7119	328	0	1583	7317	0	41356
경상북도	4700	안동시	134118	84295	80336	3959	49823	6364	966	4399	8226	430	0	2131	10710	0	47110
경상북도	4700	구미시	291865	138060	134651	3409	153805	9204	1336	8949	17454	332	0	2863	28948	0	65565
경상북도	4700	영주시	90908	60332	57305	3027	30576	2878	839	3456	7464	312	0	1657	8401	0	32298
경상북도	4700	영천시	85134	52219	49767	2452	32915	4354	499	1993	6011	255	0	1100	3547	0	32008
경상북도	4700	상주시	87803	60538	57381	3157	27265	2940	4943	2812	4961	480	0	1610	5649	0	33986
경상북도	4700	문경시	62346	42308	39866	2442	20038	2042	1248	1471	3697	332	0	1338	5200	0	24538
경상북도	4700	예천군	40803	31459	29552	1907	9344	1460	989	1373	2901	340	0	949	2792	0	18748
경상북도	4700	경산시	185240	95489	92092	3397	89751	5771	1148	6477	10011	240	0	4108	8137	0	56200
경상북도	4700	청도군	38292	26351	25041	1310	11941	1036	601	1211	2686	189	0	718	2324	0	16276
경상북도	4700	고령군	29169	20151	19208	943	9018	906	313	1431	1962	143	0	487	1686	0	12280
경상북도	4700	성주군	38683	26125	24701	1424	12558	1120	345	1643	2732	223	0	615	2972	0	15051
경상북도	4700	칠곡군	89957	47943	45999	1944	42014	3287	1020	2509	6291	235	0	1077	5782	0	25798
경상북도	4700	군위군	22359	17134	15730	1404	5225	575	397	708	1573	146	0	400	1802	0	10129
경상북도	4700	의성군	51855	37004	34951	2053	14851	1299	317	2191	5033	263	0	915	2409	0	22524
경상북도	4700	청송군	23204	17228	16554	674	5976	779	286	963	2115	171	0	472	1267	0	10501
경상북도	4700	영양군	16066	12549	11654	895	3517	577	213	685	1577	121	0	369	843	0	7269
경상북도	4700	영덕군	35548	25910	24642	1268	9638	747	490	718	2100	185	0	558	1551	0	18293
